,OBJECTID,equipamien,x,y,identifica,codvia,numportal,telefono,geo_shape,geo_point_2d,grupo,geo_shape_2d,icono
64,24003,ASOCIACIÓN VALENCIANA DE AYUDA A LA PARÁLISIS CEREBRAL - AVAPACE,728829.88,4372615.14,1508,81343,6ac,963604437.0,"{""coordinates"": [-0.3397630544250795, 39.47271786305883], ""type"": ""Point""}","39.47271786305883, -0.3397630544250795","['disc', 'disc_intelectual']","[39.47271786305883, -0.3397630544250795]",user-injured
65,24025,CENTRO OCUPACIONAL TOMÁS DE OSMA I,724369.15,4372196.79,3368,13290,S/N,963857730.0,"{""coordinates"": [-0.3917105791204608, 39.47012662354979], ""type"": ""Point""}","39.47012662354979, -0.3917105791204608","['disc', 'disc_intelectual']","[39.47012662354979, -0.3917105791204608]",user-injured
66,24100,APNAV. ASOCIACIÓN VALENCIANA DE PADRES DE AUTISTAS,723328.262,4371290.904,9481,73920,67,961362525.0,"{""coordinates"": [-0.40410244523480643, 39.46224311626755], ""type"": ""Point""}","39.46224311626755, -0.40410244523480643","['disc', 'toda_poblacion']","[39.46224311626755, -0.40410244523480643]",user-injured
67,24105,ASOCIACIÓN SINDROME X FRAGIL DE LA COMUNIDAD VALENCIANA,723268.333,4373496.023,10190,33030,67,669819503.0,"{""coordinates"": [-0.4040603242568377, 39.48210772474601], ""type"": ""Point""}","39.48210772474601, -0.4040603242568377","['disc', 'disc_intelectual']","[39.48210772474601, -0.4040603242568377]",user-injured
68,24246,CENTRO OCUPACIONAL DE LA DIPUTACIÓN DE VALENCIA,722796.164,4371547.975,3359,16230,34,963791831.0,"{""coordinates"": [-0.41019563285253363, 39.46469497006702], ""type"": ""Point""}","39.46469497006702, -0.41019563285253363","['disc', 'disc_intelectual']","[39.46469497006702, -0.41019563285253363]",user-injured
69,24286,"GERORESIDENCIAS, S.L.",723268.332,4373496.033,9640,33030,67,902200171.0,"{""coordinates"": [-0.4040603325240069, 39.4821078150189], ""type"": ""Point""}","39.4821078150189, -0.4040603325240069","['disc', 'mayores']","[39.4821078150189, -0.4040603325240069]",user-injured
70,24323,TALLER DE INDEPENDENCIA,728163.559,4372084.172,10126,41340,39,666363509.0,"{""coordinates"": [-0.34768310374364975, 39.46811557519257], ""type"": ""Point""}","39.46811557519257, -0.34768310374364975","['disc', 'disc_fisica']","[39.46811557519257, -0.34768310374364975]",user-injured
71,24328,"CEDIN. CENTRO DE EVALUACIÓN, DIAGNÓSTICO E INTERVENCIÓN INFANTIL",727593.958,4372325.269,9561,61710,5,963283407.0,"{""coordinates"": [-0.3542156325143596, 39.47043647209033], ""type"": ""Point""}","39.47043647209033, -0.3542156325143596","['disc', 'disc_intelectual']","[39.47043647209033, -0.3542156325143596]",user-injured
72,24332,CENTRO DE DÍA PARA PERSONAS CON DAÑO CEREBRAL ADQUIRIDO. NUEVA OPCIÓN II,727176.359,4374731.877,10137,47130,60,969636120.0,"{""coordinates"": [-0.3582454421948771, 39.492208700178935], ""type"": ""Point""}","39.492208700178935, -0.3582454421948771",disc,"[39.492208700178935, -0.3582454421948771]",user-injured
74,24448,AVAPACE.CENTRO DE DÍA BALADRE,728833.5,4372611.15,9543,81343,S/N,963604437.0,"{""coordinates"": [-0.3397223601767465, 39.472681065860975], ""type"": ""Point""}","39.472681065860975, -0.3397223601767465","['disc', 'disc_intelectual']","[39.472681065860975, -0.3397223601767465]",user-injured
